0.278296
0 0.26545
1 0.278296
2 0.254399
3 0.235131
4 0.230025
5 0.225653
6 0.220952
7 0.246872
8 0.222106
9 0.237353
0 0 0.113262
1 0.113262 0.26545
2 0 0.118675
3 0.118675 0.278296
4 0 0.128846
5 0.128846 0.254399
6 0 0.107363
7 0 0.11592
8 0.11592 0.230025
9 0 0.112418
10 0.107363 0.235131
11 0 0.112785
12 0.112418 0.220952
13 0 0.122693
14 0 0.116814
15 0 0.108286
16 0.122693 0.246872
17 0.108286 0.222106
18 0.116814 0.237353
19 0.112785 0.225653
